Idx,Interaction
168,BEAM_PARTICLE_PI_MINUS_PI_MINUS_PHOTON
169,BEAM_PARTICLE_PI_MINUS_PI_MINUS_PIZERO
170,BEAM_PARTICLE_PI_MINUS_COMPLEX
171,BEAM_PARTICLE_P_P
172,BEAM_PARTICLE_P_P_PHOTON
173,BEAM_PARTICLE_P_P_PHOTON_PHOTON
174,BEAM_PARTICLE_P_P_PHOTON_PHOTON_PHOTON
175,BEAM_PARTICLE_P_P_PHOTON_PHOTON_PHOTON_PHOTON
176,BEAM_PARTICLE_P_P_P
177,BEAM_PARTICLE_P_P_P_PHOTON
178,BEAM_PARTICLE_P_P_P_PHOTON_PHOTON
179,BEAM_PARTICLE_P_P_P_PHOTON_PHOTON_PHOTON
180,BEAM_PARTICLE_P_P_P_P
181,BEAM_PARTICLE_P_P_P_P_PHOTON
182,BEAM_PARTICLE_P_P_P_P_PHOTON_PHOTON
183,BEAM_PARTICLE_P_P_P_P_P
184,BEAM_PARTICLE_P_P_P_P_P_PHOTON
185,BEAM_PARTICLE_P_P_P_P_P_P
186,BEAM_PARTICLE_P_COMPLEX
187,BEAM_PARTICLE_MU_E
188,BEAM_PARTICLE_MU_COMPLEX
189,BEAM_PARTICLE_KAON_PLUS_MU
190,BEAM_PARTICLE_KAON_PLUS_KAON_PLUS_KAON0L_COMPLEX
191,BEAM_PARTICLE_KAON_PLUS_KAON_PLUS_COMPLEX
192,BEAM_PARTICLE_KAON_PLUS_COMPLEX
193,BEAM_PARTICLE_KAON_MINUS_MU
194,BEAM_PARTICLE_KAON_MINUS_KAON_MINUS_KAON0L_COMPLEX
195,BEAM_PARTICLE_KAON_MINUS_KAON_MINUS_COMPLEX
196,BEAM_PARTICLE_KAON_MINUS_COMPLEX
197,BEAM_PARTICLE_E_COMPLEX
198,BEAM_PARTICLE_COMPLEX_HIERARCHY
199,BEAM_PARTICLE_UNKNOWN_HIERARCHY
200,OTHER_INTERACTION
201,ALL_INTERACTIONS
